sum: 49995000






Stop after 1000 iterations
main shutdown
logger shutdown
[369]: sampled: 184000, processed: 1455000, actuated: 1495000
[370]: sampled: 193000, processed: 1587000, actuated: 1627000
[371]: sampled: 173000, processed: 1412000, actuated: 1452000
[372]: sampled: 179000, processed: 1542000, actuated: 1582000
[373]: sampled: 189000, processed: 1398000, actuated: 1438000
[374]: sampled: 162000, processed: 1463000, actuated: 1503000
[375]: sampled: 171000, processed: 1411000, actuated: 1451000
[376]: sampled: 177000, processed: 1510000, actuated: 1550000
[377]: sampled: 187000, processed: 1580000, actuated: 1620000
[378]: sampled: 165000, processed: 1589000, actuated: 1629000
[379]: sampled: 172000, processed: 1535000, actuated: 1575000
[380]: sampled: 185000, processed: 1579000, actuated: 1619000
[381]: sampled: 195000, processed: 1589000, actuated: 1629000
[382]: sampled: 174000, processed: 2730000, actuated: 2770000
[383]: sampled: 184000, processed: 1577000, actuated: 1617000
[384]: sampled: 194000, processed: 1680000, actuated: 1720000
[385]: sampled: 173000, processed: 1597000, actuated: 1637000
[386]: sampled: 184000, processed: 1424000, actuated: 1464000
[387]: sampled: 196000, processed: 1620000, actuated: 1661000
[388]: sampled: 180000, processed: 1452000, actuated: 1492000
[389]: sampled: 195000, processed: 1527000, actuated: 1568000
[390]: sampled: 177000, processed: 1448000, actuated: 1488000
[391]: sampled: 189000, processed: 1614000, actuated: 1654000
[392]: sampled: 174000, processed: 1569000, actuated: 1609000
[393]: sampled: 193000, processed: 1403000, actuated: 1443000
[394]: sampled: 177000, processed: 1388000, actuated: 1428000
[395]: sampled: 192000, processed: 1525000, actuated: 1565000
[396]: sampled: 174000, processed: 1476000, actuated: 1517000
[397]: sampled: 188000, processed: 1613000, actuated: 1653000
[398]: sampled: 172000, processed: 1536000, actuated: 1576000
[399]: sampled: 185000, processed: 1579000, actuated: 1619000
[400]: sampled: 200000, processed: 1471000, actuated: 1512000
[401]: sampled: 181000, processed: 1545000, actuated: 1585000
[402]: sampled: 191000, processed: 1493000, actuated: 1533000
[403]: sampled: 169000, processed: 2443000, actuated: 2483000
[404]: sampled: 145000, processed: 1447000, actuated: 1487000
[405]: sampled: 186000, processed: 1487000, actuated: 1528000
[406]: sampled: 197000, processed: 1437000, actuated: 1477000
[407]: sampled: 177000, processed: 1478000, actuated: 1519000
[408]: sampled: 188000, processed: 1429000, actuated: 1469000
[409]: sampled: 172000, processed: 1505000, actuated: 1545000
[410]: sampled: 184000, processed: 1517000, actuated: 1557000
[411]: sampled: 196000, processed: 1498000, actuated: 1538000
[412]: sampled: 178000, processed: 1512000, actuated: 1552000
[413]: sampled: 198000, processed: 1593000, actuated: 1633000
[414]: sampled: 183000, processed: 1454000, actuated: 1495000
[415]: sampled: 199000, processed: 1440000, actuated: 1480000
[416]: sampled: 182000, processed: 1514000, actuated: 1554000
[417]: sampled: 194000, processed: 1466000, actuated: 1506000
[418]: sampled: 177000, processed: 1204000, actuated: 1244000
[419]: sampled: 187000, processed: 1580000, actuated: 1620000
[420]: sampled: 166000, processed: 1437000, actuated: 1477000
[421]: sampled: 176000, processed: 1631000, actuated: 1672000
[422]: sampled: 187000, processed: 1336000, actuated: 1376000
[423]: sampled: 168000, processed: 1563000, actuated: 1603000
[424]: sampled: 180000, processed: 1358000, actuated: 1399000
[425]: sampled: 188000, processed: 1551000, actuated: 1591000
[426]: sampled: 168000, processed: 1623000, actuated: 1663000
[427]: sampled: 176000, processed: 1508000, actuated: 1548000
[428]: sampled: 185000, processed: 1639000, actuated: 1679000
[429]: sampled: 195000, processed: 1466000, actuated: 1506000
[430]: sampled: 176000, processed: 1539000, actuated: 1580000
[431]: sampled: 189000, processed: 1522000, actuated: 1562000
[432]: sampled: 171000, processed: 1564000, actuated: 1605000
[433]: sampled: 181000, processed: 1330000, actuated: 1370000
[434]: sampled: 194000, processed: 1434000, actuated: 1475000
[435]: sampled: 173000, processed: 1475000, actuated: 1515000
[436]: sampled: 185000, processed: 1303000, actuated: 1343000
[437]: sampled: 448000, processed: 1827000, actuated: 1867000
[438]: sampled: 164000, processed: 1588000, actuated: 1628000
[439]: sampled: 170000, processed: 1472000, actuated: 1512000
[440]: sampled: 177000, processed: 1418000, actuated: 1458000
[441]: sampled: 188000, processed: 1551000, actuated: 1591000
[442]: sampled: 168000, processed: 1469000, actuated: 1509000
[443]: sampled: 176000, processed: 1263000, actuated: 1303000
[444]: sampled: 185000, processed: 1639000, actuated: 1679000
[445]: sampled: 194000, processed: 1403000, actuated: 1443000
[446]: sampled: 170000, processed: 1655000, actuated: 1696000
[447]: sampled: 179000, processed: 1542000, actuated: 1582000
[448]: sampled: 219000, processed: 1521000, actuated: 1561000
[449]: sampled: 168000, processed: 1438000, actuated: 1478000
[450]: sampled: 175000, processed: 1538000, actuated: 1578000
[451]: sampled: 182000, processed: 1544000, actuated: 1585000
[452]: sampled: 189000, processed: 1521000, actuated: 1561000
[453]: sampled: 166000, processed: 1376000, actuated: 1416000
[454]: sampled: 176000, processed: 1264000, actuated: 1304000
[455]: sampled: 188000, processed: 1551000, actuated: 1592000
[456]: sampled: 170000, processed: 1593000, actuated: 1634000
[457]: sampled: 178000, processed: 1694000, actuated: 1735000
[458]: sampled: 188000, processed: 1581000, actuated: 1621000
[459]: sampled: 164000, processed: 1405000, actuated: 1445000
[460]: sampled: 173000, processed: 2377000, actuated: 2417000
[461]: sampled: 152000, processed: 1455000, actuated: 1495000
[462]: sampled: 195000, processed: 1497000, actuated: 1537000
[463]: sampled: 178000, processed: 1510000, actuated: 1551000
[464]: sampled: 189000, processed: 1736000, actuated: 1776000
[465]: sampled: 172000, processed: 1291000, actuated: 1332000
[466]: sampled: 187000, processed: 1764000, actuated: 1804000
[467]: sampled: 166000, processed: 1530000, actuated: 1570000
[468]: sampled: 176000, processed: 1509000, actuated: 1549000
[469]: sampled: 186000, processed: 1580000, actuated: 1620000
[470]: sampled: 171000, processed: 1473000, actuated: 1514000
[471]: sampled: 186000, processed: 1550000, actuated: 1590000
[472]: sampled: 170000, processed: 1319000, actuated: 1360000
[473]: sampled: 181000, processed: 1545000, actuated: 1585000
[474]: sampled: 197000, processed: 1468000, actuated: 1508000
